SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
1,WR,N,183161060,SOSP,5810,2,S,J,U,9,9,3,0,0,3,0,0,1,0,63,19.3,300,9/22/11,82,BLCA,7,F,,,,
1,WR,N,183161061,SOSP,5810,U,9,9,U,9,9,9,0,0,0,3,0,1,0,66,21.7,300,9/22/11,93,BLCA,1,F,,,,
1,WR,N,183161062,SOSP,5810,3,A,M,U,9,9,9,0,0,1,3,F,1,0,68,24.1,300,9/22/11,100,BLCA,9,F,,,,
1,WR,N,183161063,SOSP,5810,2,S,J,U,9,9,2,0,0,1,3,0,1,0,66,22.8,300,9/22/11,100,BLCA,1,F,,,,
1,WR,N,183161064,SOSP,5810,2,S,9,U,9,9,4,0,0,2,0,0,1,0,64,24,300,9/22/11,110,BLCA,6,F,,,,
1,WR,N,183161065,SOSP,5810,2,S,I,U,9,9,3,0,0,3,1,0,1,0,64,21.4,300,9/22/11,125,BLCA,9,F,,,,
1,WR,N,183161066,SOSP,5810,U,9,9,U,9,9,9,0,0,3,3,0,1,0,65,23.2,300,9/29/11,85,BLCA,3,F,,,,
1,WR,N,183161067,SOSP,5810,2,S,I,U,9,9,6,0,0,1,0,0,1,0,62,17.5,300,9/29/11,105,BLCA,3,F,,,,
1,WR,N,183161068,SOSP,5810,3,S,9,U,9,9,6,0,0,1,2,0,1,0,65,21.9,300,9/29/11,113,BLCA,4,F,,,,
1,WR,N,183161069,SOSP,5810,2,S,9,U,9,9,2,0,0,1,1,0,2,0,62,19.5,300,10/14/11,83,BLCA,1,F,,,,
1,WR,N,183161070,SOSP,5810,3,S,A,U,9,9,6,0,0,3,0,0,1,0,69,23.5,300,10/14/11,93,BLCA,1,F,,,,
0A,WR,N,230027473,WIWA,6850,2,S,9,M,H,9,2,0,0,3,0,0,1,0,51,7.1,300,9/1/11,82,BLCA,1,F,,,,
0A,WR,N,230027474,WIWA,6850,2,S,9,U,9,9,2,0,0,2,0,0,1,0,53,6.8,300,9/1/11,82,BLCA,1,F,,,,
0A,WR,N,230027475,WIWA,6850,3,S,A,M,A,9,6,0,0,2,3,F,0,0,53,7.4,300,9/1/11,84,BLCA,9,F,,,,
0A,WR,N,230027476,WIWA,6850,2,S,9,M,H,9,3,0,0,2,0,0,0,0,56,7.5,300,9/1/11,94,BLCA,2,F,,,,
0A,WR,N,230027477,WIWA,6850,3,S,R,M,A,9,6,0,0,3,1,0,0,0,56,7.4,300,9/1/11,94,BLCA,2,F,,,,
0A,WR,N,230027478,WIWA,6850,2,S,9,U,9,9,3,0,0,3,2,0,1,0,55,7.7,300,9/1/11,110,BLCA,6,F,,,,
0A,WR,N,230027479,WIWA,6850,2,S,9,M,H,9,3,0,0,4,0,0,1,0,56,7.3,300,9/1/11,110,BLCA,9,F,,,,
0A,WR,N,230027480,CHSP,5600,2,S,J,U,9,9,2,0,0,2,1,0,1,1,69,11.3,300,9/1/11,112,BLCA,10,F,,,,
0A,WR,N,230027481,CHSP,5600,3,S,A,U,9,9,6,0,0,2,0,0,3,1,68,11.9,300,9/1/11,112,BLCA,10,F,,,,
0A,WR,N,230027482,CHSP,5600,2,S,J,U,9,9,3,0,0,3,0,0,1,0,67,12.4,300,9/1/11,112,BLCA,10,F,,,,
0A,WR,N,230027483,WIWA,6850,3,S,9,U,9,9,6,0,0,4,0,0,2,0,52,7.7,300,9/1/11,123,BLCA,9,F,,,,
0A,WR,N,230027484,WIWA,6850,2,S,9,M,H,9,3,0,0,3,1,0,1,0,56,7.5,300,9/1/11,123,BLCA,7,F,,,,
